Bandit,Reward,Algorithm
3,5.312047317261103,ThompsonSamplingBandit
3,4.513188112890316,ThompsonSamplingBandit
3,4.858572333811744,ThompsonSamplingBandit
3,4.582169395602622,ThompsonSamplingBandit
3,2.1676964589049827,ThompsonSamplingBandit
3,4.327940023944351,ThompsonSamplingBandit
3,4.459396830315539,ThompsonSamplingBandit
3,4.104809227014421,ThompsonSamplingBandit
3,1.6137023240555841,ThompsonSamplingBandit
3,3.607703891156676,ThompsonSamplingBandit
3,4.709262648028343,ThompsonSamplingBandit
3,1.7679502293623406,ThompsonSamplingBandit
3,2.6851634928765975,ThompsonSamplingBandit
3,4.27777054183898,ThompsonSamplingBandit
3,4.696096486272302,ThompsonSamplingBandit
3,3.904088047817318,ThompsonSamplingBandit
3,4.6891845574904885,ThompsonSamplingBandit
3,4.4161624716631325,ThompsonSamplingBandit
3,4.913822863140449,ThompsonSamplingBandit
3,4.994637570632117,ThompsonSamplingBandit
3,4.500625020936837,ThompsonSamplingBandit
3,3.644737325042308,ThompsonSamplingBandit
3,4.768059292995982,ThompsonSamplingBandit
3,3.616374880396231,ThompsonSamplingBandit
3,3.1512105400919888,ThompsonSamplingBandit
3,2.852724331891124,ThompsonSamplingBandit
3,3.8563478326135434,ThompsonSamplingBandit
3,2.9515595998026427,ThompsonSamplingBandit
3,3.556148920465182,ThompsonSamplingBandit
3,4.6472722870577545,ThompsonSamplingBandit
3,3.735179134024075,ThompsonSamplingBandit
3,3.8603431972644593,ThompsonSamplingBandit
3,3.6236155871215874,ThompsonSamplingBandit
3,3.2460841834521066,ThompsonSamplingBandit
3,3.6640139101472657,ThompsonSamplingBandit
3,1.8134778489497179,ThompsonSamplingBandit
3,4.56502713369041,ThompsonSamplingBandit
3,4.326214784262403,ThompsonSamplingBandit
3,4.253143691817446,ThompsonSamplingBandit
3,2.597298426517607,ThompsonSamplingBandit
3,4.364984925928812,ThompsonSamplingBandit
3,2.770187442287897,ThompsonSamplingBandit
3,4.855578710362371,ThompsonSamplingBandit
3,5.332415261136176,ThompsonSamplingBandit
3,2.435434229494882,ThompsonSamplingBandit
3,3.9318060571363476,ThompsonSamplingBandit
3,4.1487866588536715,ThompsonSamplingBandit
3,3.488737386738389,ThompsonSamplingBandit
3,2.763608718197538,ThompsonSamplingBandit
3,5.440311127492333,ThompsonSamplingBandit
3,3.010566633945057,ThompsonSamplingBandit
3,3.733980418543743,ThompsonSamplingBandit
3,3.6234110511255917,ThompsonSamplingBandit
3,4.846791492278873,ThompsonSamplingBandit
3,3.4833342673895746,ThompsonSamplingBandit
3,2.5205979137293504,ThompsonSamplingBandit
3,4.402532218050597,ThompsonSamplingBandit
3,4.580805786155485,ThompsonSamplingBandit
3,3.0139734769571276,ThompsonSamplingBandit
3,3.229882482712302,ThompsonSamplingBandit
3,2.424267721599052,ThompsonSamplingBandit
3,5.236736781458284,ThompsonSamplingBandit
3,3.4843666828227673,ThompsonSamplingBandit
3,4.505660247875454,ThompsonSamplingBandit
3,2.6246678241255346,ThompsonSamplingBandit
3,3.9746095238147965,ThompsonSamplingBandit
3,3.800518496984593,ThompsonSamplingBandit
3,4.19844764694857,ThompsonSamplingBandit
3,4.995334768694303,ThompsonSamplingBandit
3,2.756185760827366,ThompsonSamplingBandit
3,4.638111352025807,ThompsonSamplingBandit
3,4.177180235129619,ThompsonSamplingBandit
3,6.167841827720435,ThompsonSamplingBandit
3,4.125942052460048,ThompsonSamplingBandit
