Bandit,Reward,Algorithm
3,3.8710169882890453,EpsilonGreedyBandit
3,3.9831839407098637,EpsilonGreedyBandit
2,2.0753545960260023,EpsilonGreedyBandit
1,1.6421990867892196,EpsilonGreedyBandit
3,3.7601711396533406,EpsilonGreedyBandit
1,1.9208221030300745,EpsilonGreedyBandit
0,-1.1829458325511393,EpsilonGreedyBandit
1,2.6271625553964255,EpsilonGreedyBandit
1,1.8713729206102978,EpsilonGreedyBandit
2,2.741147065227508,EpsilonGreedyBandit
3,4.143234624696801,EpsilonGreedyBandit
3,4.304833054959092,EpsilonGreedyBandit
0,-0.23416249292887148,EpsilonGreedyBandit
1,2.768412609899585,EpsilonGreedyBandit
2,2.2297744790991936,EpsilonGreedyBandit
2,2.24592116831092,EpsilonGreedyBandit
3,4.480082509907609,EpsilonGreedyBandit
2,2.0276962056416976,EpsilonGreedyBandit
2,1.714099608127598,EpsilonGreedyBandit
2,2.5522414438579877,EpsilonGreedyBandit
0,1.2119032016751694,EpsilonGreedyBandit
2,3.678675179865058,EpsilonGreedyBandit
0,-0.22997378376414557,EpsilonGreedyBandit
3,2.3255941911730487,EpsilonGreedyBandit
0,-0.25298909361682487,EpsilonGreedyBandit
1,2.0365256787791366,EpsilonGreedyBandit
3,4.056186172970819,EpsilonGreedyBandit
1,2.1254031236303796,EpsilonGreedyBandit
0,0.5103347289644863,EpsilonGreedyBandit
3,4.481188276755821,EpsilonGreedyBandit
1,2.946785643333697,EpsilonGreedyBandit
1,1.6581870323868548,EpsilonGreedyBandit
2,2.504263954087461,EpsilonGreedyBandit
3,3.6177946978657354,EpsilonGreedyBandit
2,2.8653408157207094,EpsilonGreedyBandit
3,3.9858316259667794,EpsilonGreedyBandit
3,4.1359317497552555,EpsilonGreedyBandit
2,4.09866449686403,EpsilonGreedyBandit
3,4.611099818448458,EpsilonGreedyBandit
2,4.392061764631823,EpsilonGreedyBandit
3,3.4201398432814063,EpsilonGreedyBandit
3,3.019803920733311,EpsilonGreedyBandit
3,4.371449840892121,EpsilonGreedyBandit
2,2.5648028206717504,EpsilonGreedyBandit
0,1.2365942055238177,EpsilonGreedyBandit
2,2.9353357777446094,EpsilonGreedyBandit
3,4.68615735730649,EpsilonGreedyBandit
3,3.618309573326247,EpsilonGreedyBandit
1,0.9945748730815818,EpsilonGreedyBandit
3,4.19810912096303,EpsilonGreedyBandit
1,2.288977585996433,EpsilonGreedyBandit
2,2.011907226928482,EpsilonGreedyBandit
0,1.6976902352149863,EpsilonGreedyBandit
2,3.45508095111847,EpsilonGreedyBandit
3,5.431108453249948,EpsilonGreedyBandit
3,4.57774406473101,EpsilonGreedyBandit
2,1.696988716105551,EpsilonGreedyBandit
0,1.480663077127896,EpsilonGreedyBandit
2,3.126989822420881,EpsilonGreedyBandit
0,0.2897416291992919,EpsilonGreedyBandit
2,3.1854999609187313,EpsilonGreedyBandit
2,1.125449912583186,EpsilonGreedyBandit
2,2.9480433409459215,EpsilonGreedyBandit
1,2.067847781926168,EpsilonGreedyBandit
3,3.869136471331509,EpsilonGreedyBandit
1,0.7480205617545792,EpsilonGreedyBandit
0,0.5561162204585519,EpsilonGreedyBandit
3,2.406155134493182,EpsilonGreedyBandit
3,3.728774374084607,EpsilonGreedyBandit
2,2.056272903931098,EpsilonGreedyBandit
2,4.367520506066516,EpsilonGreedyBandit
3,3.2748351722488125,EpsilonGreedyBandit
1,0.8643783958423639,EpsilonGreedyBandit
3,5.58710514868726,EpsilonGreedyBandit
0,0.9661815924581361,EpsilonGreedyBandit
0,-0.42234785937263264,EpsilonGreedyBandit
1,2.615116167996841,EpsilonGreedyBandit
2,3.8460009112248423,EpsilonGreedyBandit
3,2.8074982144528864,EpsilonGreedyBandit
3,4.475931507874129,EpsilonGreedyBandit
0,0.34497424023798584,EpsilonGreedyBandit
3,5.44917212172688,EpsilonGreedyBandit
1,2.717891518739592,EpsilonGreedyBandit
3,3.439986582087332,EpsilonGreedyBandit
0,0.9274410180152336,EpsilonGreedyBandit
1,3.055514494701355,EpsilonGreedyBandit
0,1.2075693279807347,EpsilonGreedyBandit
0,0.150406402205577,EpsilonGreedyBandit
2,3.1964150081676057,EpsilonGreedyBandit
1,3.0848386740626155,EpsilonGreedyBandit
1,0.8548104317344702,EpsilonGreedyBandit
1,2.0904259163694583,EpsilonGreedyBandit
2,2.0687225602635673,EpsilonGreedyBandit
3,2.484262394679077,EpsilonGreedyBandit
1,0.5898037870269301,EpsilonGreedyBandit
2,1.7602063339852645,EpsilonGreedyBandit
0,0.9226014265976589,EpsilonGreedyBandit
1,0.2414981816855437,EpsilonGreedyBandit
1,2.006364185491687,EpsilonGreedyBandit
1,3.0174003426980365,EpsilonGreedyBandit
1,1.8482838918574238,EpsilonGreedyBandit
1,2.941531204167831,EpsilonGreedyBandit
2,4.373681160910232,EpsilonGreedyBandit
1,0.6994956267130958,EpsilonGreedyBandit
1,1.1246941109161508,EpsilonGreedyBandit
1,1.2732215474777846,EpsilonGreedyBandit
3,3.7372792339107357,EpsilonGreedyBandit
3,4.34047885928961,EpsilonGreedyBandit
